Country,Region ,2019,2020,2021,2022,2023
Iceland,Europe ,68452.23622,59023.56635,69325.90783,75314.08556,79636.95486
Channel Islands,Europe ,60568.10853,56785.94024,66912.17501,67627.30823,74589.13802
Denmark,Europe ,59404.26632,60985.48856,69727.98737,68091.31911,68453.87693
Netherlands,Europe ,53554.90075,53467.92774,60141.98809,59123.31856,64572.00596
Austria,Europe ,49885.99474,48716.40989,53648.71907,52176.66491,56033.57379
Sweden,Europe ,51773.04646,52653.75659,61174.96802,55296.93715,55516.83648
Belgium,Europe ,46716.62275,45906.28758,51655.78833,50807.20471,54700.90932
Germany,Europe ,47623.86561,47379.76519,52265.65416,49686.11546,54343.22651
Finland,Europe ,48358.18078,48828.68469,53099.13514,50438.4754,52925.68976
United Kingdom,Europe ,42662.53537,40201.68124,46896.86624,45935.92765,49463.85546
France,Europe ,40408.28486,39169.8606,43725.09995,41082.81193,44690.93454